benchmark-name, PKG (Joules), CPU (J), DRAM (J) , Time (ms)
binary-trees , 75.740417480468750000, 63.230895996093750000,  ,  ,  4117.37 
binary-trees , 72.648254394531250000, 59.596313476562500000,  ,  ,  4302.81 
binary-trees , 73.847351074218750000, 61.153686523437500000,  ,  ,  4153.03 
binary-trees , 83.293579101562500000, 62.237060546875000000,  ,  ,  4238.07 
binary-trees , 81.595764160156250000, 54.419433593750000000,  ,  ,  4346.39 
binary-trees , 72.205566406250000000, 59.147949218750000000,  ,  ,  4231.88 
binary-trees , 71.937133789062500000, 58.962280273437500000,  ,  ,  4183.55 
binary-trees , 75.229248046875000000, 61.690002441406250000,  ,  ,  4253.31 
binary-trees , 73.950866699218750000, 60.400329589843750000,  ,  ,  4205.85 
binary-trees , 73.956665039062500000, 60.344482421875000000,  ,  ,  4214.42 
binary-trees , 79.418457031250000000, 66.910034179687500000,  ,  ,  4121.35 
binary-trees , 81.765930175781250000, 68.874694824218750000,  ,  ,  4145.1 
binary-trees , 79.911010742187500000, 67.343933105468750000,  ,  ,  4082.83 
binary-trees , 78.849975585937500000, 66.121948242187500000,  ,  ,  4085.07 
binary-trees , 78.967956542968750000, 66.003540039062500000,  ,  ,  4163.52 
binary-trees , 76.796325683593750000, 63.790466308593750000,  ,  ,  4146.46 
binary-trees , 75.047607421875000000, 61.929199218750000000,  ,  ,  4093.81 
binary-trees , 77.540649414062500000, 64.103027343750000000,  ,  ,  4183 
binary-trees , 75.942504882812500000, 62.705932617187500000,  ,  ,  4111.12 
binary-trees , 79.697021484375000000, 65.864074707031250000,  ,  ,  4223.47 
regex-redux , 0.004943847656250000, 0.003967285156250000,  ,  ,  1.16 
regex-redux , 0.006286621093750000, 0.002136230468750000,  ,  ,  0.797 
regex-redux , 0.006103515625000000, 0.002258300781250000,  ,  ,  0.82 
regex-redux , 0.000000000000000000, 0.002746582031250000,  ,  ,  0.886 
regex-redux , 0.006347656250000000, 0.003845214843750000,  ,  ,  0.844 
regex-redux , 0.007141113281250000, 0.003417968750000000,  ,  ,  0.855 
regex-redux , 0.007141113281250000, 0.003112792968750000,  ,  ,  1.016 
regex-redux , 0.005554199218750000, 0.003601074218750000,  ,  ,  0.972 
regex-redux , 0.006225585937500000, 0.003234863281250000,  ,  ,  0.92 
regex-redux , 0.005371093750000000, 0.003173828125000000,  ,  ,  0.911 
mandelbrot , 80.856506347656250000, 71.439086914062500000,  ,  ,  3605.18 
mandelbrot , 70.719787597656250000, 61.543151855468750000,  ,  ,  3627.09 
mandelbrot , 69.966796875000000000, 61.281738281250000000,  ,  ,  3594.95 
mandelbrot , 67.618835449218750000, 60.567993164062500000,  ,  ,  3473.27 
mandelbrot , 68.920593261718750000, 61.742126464843750000,  ,  ,  3542.72 
mandelbrot , 69.686035156250000000, 62.431091308593750000,  ,  ,  3581.55 
mandelbrot , 67.978881835937500000, 60.754272460937500000,  ,  ,  3490.91 
mandelbrot , 68.105468750000000000, 60.691467285156250000,  ,  ,  3500.7 
mandelbrot , 69.896789550781250000, 62.270751953125000000,  ,  ,  3589.54 
mandelbrot , 69.667785644531250000, 60.528137207031250000,  ,  ,  3578.98 
binary-trees , 74.453186035156250000, 62.372497558593750000,  ,  ,  4075.78 
binary-trees , 74.094238281250000000, 61.627014160156250000,  ,  ,  4108.3 
binary-trees , 72.978393554687500000, 61.616088867187500000,  ,  ,  4174.61 
binary-trees , 74.072753906250000000, 63.214660644531250000,  ,  ,  4080.43 
binary-trees , 74.803405761718750000, 63.907165527343750000,  ,  ,  4089.22 
binary-trees , 74.094909667968750000, 63.358398437500000000,  ,  ,  4023.85 
binary-trees , 72.911865234375000000, 61.994323730468750000,  ,  ,  4100.27 
binary-trees , 73.519470214843750000, 62.565917968750000000,  ,  ,  4111.48 
binary-trees , 71.980407714843750000, 61.092834472656250000,  ,  ,  4090.57 
binary-trees , 72.546752929687500000, 61.511779785156250000,  ,  ,  4150.01 
reverse-complement , 0.005859375000000000, 0.002197265625000000,  ,  ,  0.872 
reverse-complement , 0.006103515625000000, 0.002014160156250000,  ,  ,  0.779 
reverse-complement , 0.000000000000000000, 0.002258300781250000,  ,  ,  0.749 
reverse-complement , 0.005615234375000000, 0.002136230468750000,  ,  ,  0.879 
reverse-complement , 0.004882812500000000, 0.002075195312500000,  ,  ,  0.85 
reverse-complement , 0.004882812500000000, 0.001708984375000000,  ,  ,  0.844 
reverse-complement , 0.004333496093750000, 0.002075195312500000,  ,  ,  0.874 
reverse-complement , 0.004577636718750000, 0.002075195312500000,  ,  ,  0.904 
reverse-complement , 0.004516601562500000, 0.001892089843750000,  ,  ,  0.978 
reverse-complement , 0.003601074218750000, 0.002136230468750000,  ,  ,  1.068 
spectral-norm , 34.372619628906250000, 31.058166503906250000,  ,  ,  1277.02 
spectral-norm , 27.681518554687500000, 24.065429687500000000,  ,  ,  1413.92 
spectral-norm , 27.053955078125000000, 23.905578613281250000,  ,  ,  1387.25 
spectral-norm , 26.821716308593750000, 23.908325195312500000,  ,  ,  1375.97 
spectral-norm , 26.988159179687500000, 24.043640136718750000,  ,  ,  1387.56 
spectral-norm , 26.945861816406250000, 24.015625000000000000,  ,  ,  1383.42 
spectral-norm , 26.650146484375000000, 23.741577148437500000,  ,  ,  1368.83 
spectral-norm , 26.638916015625000000, 23.745910644531250000,  ,  ,  1368.58 
spectral-norm , 27.049011230468750000, 24.093994140625000000,  ,  ,  1390.24 
spectral-norm , 26.978515625000000000, 24.039733886718750000,  ,  ,  1386.86 
n-body , 75.422912597656250000, 65.836242675781250000,  ,  ,  3760.24 
n-body , 70.366943359375000000, 62.524902343750000000,  ,  ,  3708.5 
n-body , 64.826660156250000000, 56.503417968750000000,  ,  ,  3937.78 
n-body , 64.302917480468750000, 55.950988769531250000,  ,  ,  3949.98 
n-body , 62.753234863281250000, 54.328308105468750000,  ,  ,  3993.3 
n-body , 61.221618652343750000, 52.721740722656250000,  ,  ,  4028.67 
n-body , 60.009582519531250000, 51.400024414062500000,  ,  ,  4084.2 
n-body , 70.963562011718750000, 63.088623046875000000,  ,  ,  3736.94 
n-body , 70.620422363281250000, 62.756347656250000000,  ,  ,  3704.95 
n-body , 64.674438476562500000, 56.400085449218750000,  ,  ,  3921.59 
fannkuch-redux , 202.031250000000000000, 182.506958007812500000,  ,  ,  8422.85 
fannkuch-redux , 169.680297851562500000, 151.209411621093750000,  ,  ,  8724.93 
fannkuch-redux , 171.597656250000000000, 152.933837890625000000,  ,  ,  8813.92 
fannkuch-redux , 171.477783203125000000, 152.813232421875000000,  ,  ,  8804.32 
fannkuch-redux , 172.520263671875000000, 153.729675292968750000,  ,  ,  8863.39 
fannkuch-redux , 173.794250488281250000, 154.302612304687500000,  ,  ,  8928.43 
fannkuch-redux , 176.023254394531250000, 154.995483398437500000,  ,  ,  9045.03 
fannkuch-redux , 172.719909667968750000, 152.106811523437500000,  ,  ,  8876.49 
fannkuch-redux , 171.711120605468750000, 152.975646972656250000,  ,  ,  8815.64 
fannkuch-redux , 172.227722167968750000, 153.412231445312500000,  ,  ,  8852.98 
fasta , 32.084472656250000000, 28.728759765625000000,  ,  ,  1206.08 
fasta , 31.677612304687500000, 28.425231933593750000,  ,  ,  1194.66 
fasta , 29.711608886718750000, 27.156677246093750000,  ,  ,  1176.96 
fasta , 29.165161132812500000, 26.541442871093750000,  ,  ,  1211.55 
fasta , 23.494506835937500000, 20.411560058593750000,  ,  ,  1434.56 
fasta , 25.874633789062500000, 23.013244628906250000,  ,  ,  1324.37 
fasta , 25.376403808593750000, 22.605957031250000000,  ,  ,  1280.34 
fasta , 25.771301269531250000, 22.977050781250000000,  ,  ,  1296.41 
fasta , 25.600830078125000000, 22.828308105468750000,  ,  ,  1287.65 
fasta , 25.657470703125000000, 22.880126953125000000,  ,  ,  1290.77 
